X-1;Y0;Y1;Y2;Y3;Y4
-5.000000;0.000003;-0.000020;0.000097;-0.000380;0.001259
-4.900000;0.000005;-0.000032;0.000153;-0.000585;0.001894
-4.800000;0.000007;-0.000051;0.000238;-0.000890;0.002816
-4.700000;0.000012;-0.000080;0.000366;-0.001340;0.004137
-4.600000;0.000019;-0.000124;0.000558;-0.001994;0.006002
-4.500000;0.000030;-0.000192;0.000841;-0.002932;0.008602
-4.400000;0.000047;-0.000292;0.001253;-0.004261;0.012173
-4.300000;0.000073;-0.000441;0.001846;-0.006121;0.017011
-4.200000;0.000111;-0.000659;0.002690;-0.008687;0.023469
-4.100000;0.000168;-0.000974;0.003876;-0.012181;0.031958
-4.000000;0.000252;-0.001425;0.005523;-0.016875;0.042947
-3.900000;0.000374;-0.002063;0.007781;-0.023093;0.056945
-3.800000;0.000550;-0.002954;0.010836;-0.031210;0.074477
-3.700000;0.000800;-0.004185;0.014919;-0.041653;0.096056
-3.600000;0.001152;-0.005865;0.020301;-0.054883;0.122129
-3.500000;0.001643;-0.008133;0.027303;-0.071385;0.153023
-3.400000;0.002320;-0.011155;0.036288;-0.091630;0.188867
-3.300000;0.003243;-0.015136;0.047655;-0.116045;0.229516
-3.200000;0.004489;-0.020314;0.061830;-0.144962;0.274466
-3.100000;0.006151;-0.026965;0.079243;-0.178558;0.322778
-3.000000;0.008344;-0.035402;0.100305;-0.216790;0.373015
-2.900000;0.011207;-0.045964;0.125371;-0.259328;0.423207
-2.800000;0.014903;-0.059013;0.154700;-0.305488;0.470863
-2.700000;0.019620;-0.074918;0.188406;-0.354177;0.513027
-2.600000;0.025574;-0.094034;0.226405;-0.403855;0.546406
-2.500000;0.033002;-0.116680;0.268365;-0.452528;0.567553
-2.400000;0.042164;-0.143110;0.313650;-0.497777;0.573126
-2.300000;0.053334;-0.173479;0.361289;-0.536834;0.560193
-2.200000;0.066791;-0.207806;0.409944;-0.566707;0.526567
-2.100000;0.082812;-0.245939;0.457915;-0.584352;0.471153
-2.000000;0.101654;-0.287520;0.503161;-0.586898;0.394250
-1.900000;0.123541;-0.331955;0.543358;-0.571895;0.297781
-1.800000;0.148647;-0.378393;0.575998;-0.537584;0.185404
-1.700000;0.177075;-0.425717;0.598508;-0.483159;0.062473
-1.600000;0.208841;-0.472553;0.608412;-0.408988;-0.064183
-1.500000;0.243855;-0.517294;0.603510;-0.316777;-0.186662
-1.400000;0.281906;-0.558145;0.582065;-0.209633;-0.296558
-1.300000;0.322652;-0.593188;0.542995;-0.092024;-0.385655
-1.200000;0.365612;-0.620464;0.486030;0.030396;-0.446707
-1.100000;0.410170;-0.638075;0.411849;0.151086;-0.474189
-1.000000;0.455581;-0.644288;0.322144;0.263030;-0.464975
-0.900000;0.500983;-0.637648;0.219634;0.359240;-0.418827
-0.800000;0.545429;-0.617083;0.107989;0.433307;-0.338637
-0.700000;0.587909;-0.582001;-0.008314;0.479954;-0.230364
-0.600000;0.627393;-0.532360;-0.124217;0.495524;-0.102658
-0.500000;0.662866;-0.468717;-0.234359;0.478382;0.033827
-0.400000;0.693376;-0.392233;-0.333398;0.429144;0.167351
-0.300000;0.718074;-0.304653;-0.416359;0.350735;0.286176
-0.200000;0.736252;-0.208244;-0.478960;0.248244;0.379685
-0.100000;0.747379;-0.105695;-0.517907;0.128587;0.439429
-0.000000;0.751126;-0.000000;-0.531126;0.000000;0.459969
0.100000;0.747379;0.105695;-0.517907;-0.128587;0.439429
0.200000;0.736252;0.208244;-0.478960;-0.248244;0.379685
0.300000;0.718074;0.304653;-0.416359;-0.350735;0.286176
0.400000;0.693376;0.392233;-0.333398;-0.429144;0.167351
0.500000;0.662866;0.468717;-0.234359;-0.478382;0.033827
0.600000;0.627393;0.532360;-0.124217;-0.495524;-0.102658
0.700000;0.587909;0.582001;-0.008314;-0.479954;-0.230364
0.800000;0.545429;0.617083;0.107989;-0.433307;-0.338637
0.900000;0.500983;0.637648;0.219634;-0.359240;-0.418827
1.000000;0.455581;0.644288;0.322144;-0.263030;-0.464975
1.100000;0.410170;0.638075;0.411849;-0.151086;-0.474189
1.200000;0.365612;0.620464;0.486030;-0.030396;-0.446707
1.300000;0.322652;0.593188;0.542995;0.092024;-0.385655
1.400000;0.281906;0.558145;0.582065;0.209633;-0.296558
1.500000;0.243855;0.517294;0.603510;0.316777;-0.186662
1.600000;0.208841;0.472553;0.608412;0.408988;-0.064183
1.700000;0.177075;0.425717;0.598508;0.483159;0.062473
1.800000;0.148647;0.378393;0.575998;0.537584;0.185404
1.900000;0.123541;0.331955;0.543358;0.571895;0.297781
2.000000;0.101654;0.287520;0.503161;0.586898;0.394250
2.100000;0.082812;0.245939;0.457915;0.584352;0.471153
2.200000;0.066791;0.207806;0.409944;0.566707;0.526567
2.300000;0.053334;0.173479;0.361289;0.536834;0.560193
2.400000;0.042164;0.143110;0.313650;0.497777;0.573126
2.500000;0.033002;0.116680;0.268365;0.452528;0.567553
2.600000;0.025574;0.094034;0.226405;0.403855;0.546406
2.700000;0.019620;0.074918;0.188406;0.354177;0.513027
2.800000;0.014903;0.059013;0.154700;0.305488;0.470863
2.900000;0.011207;0.045964;0.125371;0.259328;0.423207
3.000000;0.008344;0.035402;0.100305;0.216790;0.373015
3.100000;0.006151;0.026965;0.079243;0.178558;0.322778
3.200000;0.004489;0.020314;0.061830;0.144962;0.274466
3.300000;0.003243;0.015136;0.047655;0.116045;0.229516
3.400000;0.002320;0.011155;0.036288;0.091630;0.188867
3.500000;0.001643;0.008133;0.027303;0.071385;0.153023
3.600000;0.001152;0.005865;0.020301;0.054883;0.122129
3.700000;0.000800;0.004185;0.014919;0.041653;0.096056
3.800000;0.000550;0.002954;0.010836;0.031210;0.074477
3.900000;0.000374;0.002063;0.007781;0.023093;0.056945
4.000000;0.000252;0.001425;0.005523;0.016875;0.042947
4.100000;0.000168;0.000974;0.003876;0.012181;0.031958
4.200000;0.000111;0.000659;0.002690;0.008687;0.023469
4.300000;0.000073;0.000441;0.001846;0.006121;0.017011
4.400000;0.000047;0.000292;0.001253;0.004261;0.012173
4.500000;0.000030;0.000192;0.000841;0.002932;0.008602
4.600000;0.000019;0.000124;0.000558;0.001994;0.006002
4.700000;0.000012;0.000080;0.000366;0.001340;0.004137
4.800000;0.000007;0.000051;0.000238;0.000890;0.002816
4.900000;0.000005;0.000032;0.000153;0.000585;0.001894
